taller,mes,asistentes
Excel para Datos,Abril,32
Machine Learning,Abril,32
Power BI,Abril,43
Python Avanzado,Abril,64
Python Básico,Abril,73
SQL Fundamentos,Abril,89
Visualización,Abril,107
Excel para Datos,Enero,84
Machine Learning,Enero,35
Power BI,Enero,26
Python Avanzado,Enero,39
Python Básico,Enero,10
SQL Fundamentos,Enero,47
Visualización,Enero,62
Excel para Datos,Febrero,70
Machine Learning,Febrero,27
Power BI,Febrero,61
Python Avanzado,Febrero,22
Python Básico,Febrero,52
SQL Fundamentos,Febrero,28
Visualización,Febrero,65
Excel para Datos,Marzo,66
Machine Learning,Marzo,48
Power BI,Marzo,58
Python Avanzado,Marzo,37
Python Básico,Marzo,82
SQL Fundamentos,Marzo,44
Visualización,Marzo,71
